,xrsa,xrsb,xrsa_quality,xrsb_quality
2024-05-14 13:35:00,4.07801e-07,7.845557e-06,0,0
2024-05-14 13:36:00,3.8050106e-07,7.6236392e-06,0,0
2024-05-14 13:37:00,3.52264e-07,7.4039717e-06,0,0
2024-05-14 13:38:00,3.3097405e-07,7.210817e-06,0,0
2024-05-14 13:39:00,3.0849176e-07,7.0486944e-06,0,0
2024-05-14 13:40:00,2.9439593e-07,6.9029516e-06,0,0
2024-05-14 13:41:00,2.7791822e-07,6.761623e-06,0,0
2024-05-14 13:42:00,2.6206837e-07,6.6305283e-06,0,0
2024-05-14 13:43:00,2.512733e-07,6.527057e-06,0,0
2024-05-14 13:44:00,2.4133362e-07,6.4195915e-06,0,0
2024-05-14 13:45:00,2.3486389e-07,6.355525e-06,0,0
2024-05-14 13:46:00,2.2847485e-07,6.3153116e-06,0,0
2024-05-14 13:47:00,2.2921184e-07,6.306439e-06,0,0
2024-05-14 13:48:00,2.3545805e-07,6.3360526e-06,0,0
2024-05-14 13:49:00,2.265007e-07,6.2909494e-06,0,0
2024-05-14 13:50:00,2.138446e-07,6.2064873e-06,0,0
2024-05-14 13:51:00,2.0279657e-07,6.107874e-06,0,0
2024-05-14 13:52:00,1.919068e-07,6.002729e-06,0,0
2024-05-14 13:53:00,1.8396806e-07,5.9065314e-06,0,0
2024-05-14 13:54:00,1.7771428e-07,5.8502023e-06,0,0
2024-05-14 13:55:00,1.7471683e-07,5.7838874e-06,0,0
2024-05-14 13:56:00,1.6957404e-07,5.6990925e-06,0,0
2024-05-14 13:57:00,1.639868e-07,5.6266667e-06,0,0
2024-05-14 13:58:00,1.6239049e-07,5.588188e-06,0,0
2024-05-14 13:59:00,1.6522993e-07,5.5858955e-06,0,0
2024-05-14 14:00:00,1.7325816e-07,5.5856813e-06,0,0
2024-05-14 14:01:00,1.7487385e-07,5.603205e-06,0,0
2024-05-14 14:02:00,1.6995584e-07,5.570447e-06,0,0
2024-05-14 14:03:00,1.6157415e-07,5.517282e-06,0,0
2024-05-14 14:04:00,1.5754671e-07,5.463404e-06,0,0
2024-05-14 14:05:00,1.5645705e-07,5.4245897e-06,0,0
2024-05-14 14:06:00,1.5373057e-07,5.383343e-06,0,0
2024-05-14 14:07:00,1.529595e-07,5.358922e-06,0,0
2024-05-14 14:08:00,1.5515376e-07,5.3473163e-06,0,0
2024-05-14 14:09:00,1.5903147e-07,5.3439203e-06,0,0
2024-05-14 14:10:00,1.6762391e-07,5.3829012e-06,0,0
2024-05-14 14:11:00,1.6744985e-07,5.387245e-06,0,0
2024-05-14 14:12:00,1.6142094e-07,5.3561644e-06,0,0
2024-05-14 14:13:00,1.541893e-07,5.3016865e-06,0,0
2024-05-14 14:14:00,1.498554e-07,5.2585524e-06,0,0
2024-05-14 14:15:00,1.4430714e-07,5.2073897e-06,0,0
2024-05-14 14:16:00,1.419899e-07,5.1555385e-06,0,0
